year,state-name,sector-name,fuel-name,value
1970,Alabama,Industrial carbon dioxide emissions,Coal,26.721507
1970,Alabama,Industrial carbon dioxide emissions,Petroleum,3.577779
1970,Alabama,Industrial carbon dioxide emissions,Natural Gas,8.944097
1970,Alabama,Industrial carbon dioxide emissions,All Fuels,39.243383
1970,Alabama,Total carbon dioxide emissions from all sectors,All Fuels,102.646851
1970,Alabama,Total carbon dioxide emissions from all sectors,Coal,63.266935
1970,Alabama,Total carbon dioxide emissions from all sectors,Petroleum,23.474612
1970,Alabama,Total carbon dioxide emissions from all sectors,Natural Gas,15.905305
1970,Alabama,Residential carbon dioxide emissions,Coal,0.163635
1970,Alabama,Residential carbon dioxide emissions,Petroleum,1.123947
1970,Alabama,Residential carbon dioxide emissions,Natural Gas,3.049074
1970,Alabama,Residential carbon dioxide emissions,All Fuels,4.336656
1970,Alabama,Commercial carbon dioxide emissions,Coal,0.128584
1970,Alabama,Commercial carbon dioxide emissions,Petroleum,0.824345
1970,Alabama,Commercial carbon dioxide emissions,Natural Gas,1.981782
1970,Alabama,Commercial carbon dioxide emissions,All Fuels,2.93471
1970,Alabama,Transportation carbon dioxide emissions,Coal,0.039948
1970,Alabama,Transportation carbon dioxide emissions,Petroleum,17.661483
1970,Alabama,Transportation carbon dioxide emissions,Natural Gas,1.086115
1970,Alabama,Transportation carbon dioxide emissions,All Fuels,18.787545
1970,Alabama,Electric Power carbon dioxide emissions,Coal,36.21326
1970,Alabama,Electric Power carbon dioxide emissions,Petroleum,0.287059
1970,Alabama,Electric Power carbon dioxide emissions,Natural Gas,0.844237
1970,Alabama,Electric Power carbon dioxide emissions,All Fuels,37.344556
1970,Alaska,Residential carbon dioxide emissions,Coal,0.022375
1970,Alaska,Total carbon dioxide emissions from all sectors,Natural Gas,3.349967
1970,Alaska,Residential carbon dioxide emissions,Natural Gas,0.330951
1970,Alaska,Residential carbon dioxide emissions,All Fuels,0.960305
1970,Alaska,Commercial carbon dioxide emissions,Coal,0.017573
1970,Alaska,Commercial carbon dioxide emissions,Petroleum,0.664148
1970,Alaska,Commercial carbon dioxide emissions,Natural Gas,0.667098
1970,Alaska,Commercial carbon dioxide emissions,All Fuels,1.348819
1970,Alaska,Transportation carbon dioxide emissions,Coal,0.001332
1970,Alaska,Transportation carbon dioxide emissions,Petroleum,4.19922
1970,Alaska,Transportation carbon dioxide emissions,Natural Gas,0.922177
1970,Alaska,Transportation carbon dioxide emissions,All Fuels,5.122728
1970,Alaska,Electric Power carbon dioxide emissions,Coal,0.404612
1970,Alaska,Electric Power carbon dioxide emissions,Petroleum,0.172132
1970,Alaska,Electric Power carbon dioxide emissions,Natural Gas,0.436832
1970,Alaska,Electric Power carbon dioxide emissions,All Fuels,1.013576
1970,Alaska,Industrial carbon dioxide emissions,Coal,0.80214
1970,Alaska,Industrial carbon dioxide emissions,Petroleum,1.108431
1970,Alaska,Industrial carbon dioxide emissions,Natural Gas,0.99291
1970,Alaska,Industrial carbon dioxide emissions,All Fuels,2.903481
1970,Alaska,Total carbon dioxide emissions from all sectors,All Fuels,11.34891
1970,Alaska,Total carbon dioxide emissions from all sectors,Coal,1.248033
1970,Alaska,Total carbon dioxide emissions from all sectors,Petroleum,6.75091
1970,Alaska,Residential carbon dioxide emissions,Petroleum,0.606979
1970,Arizona,Total carbon dioxide emissions from all sectors,Natural Gas,10.693684
1970,Arizona,Total carbon dioxide emissions from all sectors,Coal,0.82011
1970,Arizona,Total carbon dioxide emissions from all sectors,All Fuels,24.906189
1970,Arizona,Industrial carbon dioxide emissions,All Fuels,4.003728
1970,Arizona,Industrial carbon dioxide emissions,Natural Gas,3.100531
1970,Arizona,Industrial carbon dioxide emissions,Petroleum,0.892881
1970,Arizona,Industrial carbon dioxide emissions,Coal,0.010315
1970,Arizona,Electric Power carbon dioxide emissions,All Fuels,4.126415
1970,Arizona,Electric Power carbon dioxide emissions,Natural Gas,3.307016
1970,Arizona,Electric Power carbon dioxide emissions,Petroleum,0.009604
1970,Arizona,Electric Power carbon dioxide emissions,Coal,0.809795
1970,Arizona,Transportation carbon dioxide emissions,All Fuels,13.356809
1970,Arizona,Transportation carbon dioxide emissions,Natural Gas,1.344852
1970,Arizona,Transportation carbon dioxide emissions,Petroleum,12.011957
1970,Arizona,Commercial carbon dioxide emissions,All Fuels,1.501632
1970,Arizona,Commercial carbon dioxide emissions,Natural Gas,1.274866
1970,Arizona,Commercial carbon dioxide emissions,Petroleum,0.226766
1970,Arizona,Residential carbon dioxide emissions,All Fuels,1.917605
1970,Arizona,Residential carbon dioxide emissions,Natural Gas,1.666419
1970,Arizona,Residential carbon dioxide emissions,Petroleum,0.251186
1970,Arizona,Total carbon dioxide emissions from all sectors,Petroleum,13.392394
1970,Arkansas,Residential carbon dioxide emissions,Petroleum,1.606385
1970,Arkansas,Residential carbon dioxide emissions,Natural Gas,3.182844
1970,Arkansas,Total carbon dioxide emissions from all sectors,Natural Gas,19.952297
1970,Arkansas,Total carbon dioxide emissions from all sectors,Petroleum,16.226592
1970,Arkansas,Total carbon dioxide emissions from all sectors,All Fuels,36.178889
1970,Arkansas,Industrial carbon dioxide emissions,All Fuels,11.184168
1970,Arkansas,Industrial carbon dioxide emissions,Natural Gas,8.249988
1970,Arkansas,Industrial carbon dioxide emissions,Petroleum,2.934181
1970,Arkansas,Electric Power carbon dioxide emissions,All Fuels,6.052145
1970,Arkansas,Electric Power carbon dioxide emissions,Natural Gas,5.719533
1970,Arkansas,Electric Power carbon dioxide emissions,Petroleum,0.332612
1970,Arkansas,Transportation carbon dioxide emissions,All Fuels,11.580404
1970,Arkansas,Transportation carbon dioxide emissions,Natural Gas,0.714869
1970,Arkansas,Transportation carbon dioxide emissions,Petroleum,10.865536
1970,Arkansas,Commercial carbon dioxide emissions,All Fuels,2.572943
1970,Arkansas,Commercial carbon dioxide emissions,Natural Gas,2.085065
1970,Arkansas,Commercial carbon dioxide emissions,Petroleum,0.487878
1970,Arkansas,Residential carbon dioxide emissions,All Fuels,4.789228
1970,California,Industrial carbon dioxide emissions,Coal,5.398804
1970,California,Industrial carbon dioxide emissions,Petroleum,24.776525
1970,California,Industrial carbon dioxide emissions,Natural Gas,37.971445
1970,California,Industrial carbon dioxide emissions,All Fuels,68.146774
1970,California,Total carbon dioxide emissions from all sectors,All Fuels,294.3722
1970,California,Total carbon dioxide emissions from all sectors,Coal,5.637264
1970,California,Total carbon dioxide emissions from all sectors,Petroleum,171.649062
1970,California,Total carbon dioxide emissions from all sectors,Natural Gas,117.085874
1970,California,Residential carbon dioxide emissions,Coal,0.128968
1970,California,Residential carbon dioxide emissions,Petroleum,1.375131
1970,California,Residential carbon dioxide emissions,Natural Gas,30.877841
1970,California,Residential carbon dioxide emissions,All Fuels,32.38194
1970,California,Commercial carbon dioxide emissions,Coal,0.101312
1970,California,Commercial carbon dioxide emissions,Petroleum,5.501119
1970,California,Commercial carbon dioxide emissions,Natural Gas,11.732372
1970,California,Commercial carbon dioxide emissions,All Fuels,17.334803
1970,California,Transportation carbon dioxide emissions,Coal,0.00818
1970,California,Transportation carbon dioxide emissions,Petroleum,129.757941
1970,California,Transportation carbon dioxide emissions,Natural Gas,0.947467
1970,California,Transportation carbon dioxide emissions,All Fuels,130.713588
1970,California,Electric Power carbon dioxide emissions,Petroleum,10.238345
1970,California,Electric Power carbon dioxide emissions,Natural Gas,35.55675
1970,California,Electric Power carbon dioxide emissions,All Fuels,45.795095
1970,Colorado,Residential carbon dioxide emissions,Coal,0.272341
1970,Colorado,Residential carbon dioxide emissions,Petroleum,0.861224
1970,Colorado,Total carbon dioxide emissions from all sectors,Natural Gas,14.38088
1970,Colorado,Total carbon dioxide emissions from all sectors,Petroleum,17.749772
1970,Colorado,Total carbon dioxide emissions from all sectors,Coal,10.886907
1970,Colorado,Total carbon dioxide emissions from all sectors,All Fuels,43.017559
1970,Colorado,Industrial carbon dioxide emissions,All Fuels,10.848443
1970,Colorado,Industrial carbon dioxide emissions,Natural Gas,4.324524
1970,Colorado,Industrial carbon dioxide emissions,Petroleum,2.70534
